ufb,usefulness,experience,numofrv,lenrv,dup,score
8,0.615384615,0,1,1126,0,5
6,0.75,9,2,1108,1,5
21,0.75,0,1,349,0,5
5,1,0,1,559,0,5
2,0.333333333,0,1,1796,0,5
15,0.789473684,1139,4,853.25,1,5
81,0.941860465,2567,9,813,1,5
6,0.857142857,0,1,417,0,5
4,0.4,1833,5,576.4,1,5
0,0,0,1,705,0,5
19,0.703703704,110,3,349.6666667,1,5
22,0.578947368,0,1,1186,0,5
11,0.916666667,0,1,352,0,5
4,1,0,1,473,0,5
7,0.7,444,6,555.8333333,1,5
1,1,0,1,319,0,5
117,0.774834437,1222,30,551.4333333,1,5
2,0.666666667,0,1,204,0,5
30,0.810810811,277,2,633.5,1,5
7,0.466666667,0,1,235,0,5
13,0.684210526,43,2,397,1,5
6,0.857142857,0,1,755,0,5
35,0.945945946,40,2,1503.5,1,5
15,0.375,0,1,1619,0,5
9,0.9,0,1,1200,0,5
11,0.523809524,229,2,354,1,5
102,0.962264151,174,28,664.4285714,1,5
1,0.2,230,3,313.3333333,1,5
111,0.74,2548,13,1207.769231,1,5
7,1,84,6,1474.166667,1,5
10,0.476190476,0,1,242,0,5
1,1,0,1,433,0,5
17,0.515151515,2646,5,503.2,1,5
12,0.857142857,301,2,1106,1,5
2,1,611,4,835,1,5
471,0.965163934,1052,12,1690.166667,1,5
12,0.6,0,1,928,0,5
3,0.75,2070,4,430,1,5
7,0.875,410,5,1184.4,1,5
0,0,0,1,1067,0,5
2,1,0,1,301,0,5
7,0.875,0,1,563,0,5
14,0.482758621,0,1,434,0,5
11,0.578947368,0,1,470,0,6
11,0.578947368,0,1,1887,0,6
84,0.705882353,870,4,655.75,1,6
73,0.584,41,13,500.5384615,1,6
59,0.7375,724,3,1361.333333,1,6
80,0.714285714,1268,26,598.4615385,1,6
27,0.964285714,271,2,1218.5,1,6
7,0.875,0,1,1516,0,6
15,0.416666667,0,1,1178,0,6
16,0.4,175,2,537,1,6
16,0.761904762,115,2,501,1,6
6,0.75,0,1,1565,0,6
2,1,0,1,845,0,6
17,0.653846154,827,3,497,1,6
2,0.5,0,1,154,0,6
27,0.5625,791,16,312,1,6
2,0.666666667,0,1,752,0,6
11,0.611111111,2334,2,223,1,6
14,1,2,4,611,1,6
10,0.714285714,113,4,450.5,1,6
1,1,0,1,2624,0,6
56,0.903225806,938,4,1228,1,6
35,0.833333333,1548,5,946.2,1,6
1,1,0,1,207,0,6
4,1,0,1,1032,0,6
5,0.833333333,0,1,270,0,6
6,1,0,1,393,0,6
11,0.6875,0,1,186,0,6
4,1,0,1,1145,0,6
1,1,0,1,770,0,6
1,1,0,1,813,0,6
18,0.418604651,157,3,703,1,6
54,0.701298701,1644,13,1096.076923,1,6
32,0.820512821,0,1,635,0,6
1,1,0,1,271,0,6
3,0.333333333,0,1,40,0,6
2,0.333333333,0,1,410,0,6
3,1,0,1,774,0,6
6,0.5,0,2,178.5,1,6
14,0.933333333,0,1,556,0,6
44,0.698412698,1085,7,794,1,6
3,1,0,1,967,0,6
3,0.75,0,1,1128,0,6
41,0.931818182,861,3,827.3333333,1,6
16,0.842105263,278,2,1041.5,1,6
51,0.708333333,291,6,632.5,1,6
208,0.587570621,1074,43,2459.511628,1,6
2,1,0,1,602,0,6
23,0.522727273,119,2,553.5,1,6
1,0.166666667,0,1,654,0,6
1,0.333333333,0,1,363,0,6
27,0.675,391,2,193.5,1,6
9,0.9,910,5,419.8,1,6
1,0.5,0,1,205,0,6
7,0.875,0,1,354,0,6
4,1,4,2,1723.5,1,6
3,0.6,0,1,622,0,6
2,0.5,0,1,678,0,6
5,0.625,0,1,506,0,6
9,0.529411765,0,1,786,0,6
6,1,68,2,606,1,6
43,0.934782609,552,7,1323.625,1,6
2,0.5,0,1,493,0,6
2,1,0,1,472,0,6
8,1,0,1,589,0,6
9,0.9,0,1,455,0,6
2,0.5,0,1,1578,0,6
4,1,0,1,422,0,6
27,0.75,27,3,464.3333333,1,6
50,0.543478261,1200,33,557.030303,1,6
0,0,0,1,1562,0,6
34,0.871794872,949,3,1459,1,6
6,1,0,1,426,0,6
44,0.594594595,1279,3,1171,1,6
9,0.3,48,3,169.6666667,1,6
40,0.769230769,631,7,618.5714286,1,7
55,0.785714286,225,2,672.5,1,7
12,0.705882353,1030,3,525.6666667,1,7
10,0.909090909,0,1,627,0,7
20,0.740740741,0,1,376,0,7
262,0.761627907,0,1,797,0,7
1,1,0,1,260,0,7
6,0.75,0,1,705,0,7
7,1,0,1,2476,0,7
27,0.5625,0,2,437.5,1,7
7,0.875,698,4,748.75,1,7
5,1,0,1,206,0,7
1,0.333333333,0,1,256,0,7
3,0.6,45,3,1841,1,7
42,0.724137931,568,7,308.7142857,1,7
9,1,1818,3,641.3333333,1,7
9,0.75,4,1,418,0,7
318,0.764423077,1300,35,1298.861111,1,7
6,0.333333333,125,3,423.6666667,1,7
13,1,981,3,476,1,7
5,0.714285714,0,1,277,0,7
5,1,0,2,627.5,1,7
3,0.75,0,1,201,0,7
6,0.375,362,7,1185.857143,1,7
33,0.846153846,0,1,1129,0,7
13,0.928571429,728,2,1242.5,1,7
29,0.604166667,0,1,1678,0,7
101,0.795275591,547,7,488.8571429,1,7
1,1,0,1,1682,0,7
6,0.857142857,0,1,682,0,7
4,0.363636364,0,1,280,0,7
2,1,0,1,215,0,7
2,0.5,0,1,1029,0,7
1,0.5,0,1,429,0,7
4,0.444444444,0,1,1638,0,7
5,0.714285714,0,1,244,0,7
